longitude,latitude,Biome,bd,clay,silt
-179.75,89.75,-9999,-9999,-9999,-9999
-179.25,89.75,-9999,-9999,-9999,-9999
-178.75,89.75,-9999,-9999,-9999,-9999
-178.25,89.75,-9999,-9999,-9999,-9999
-177.75,89.75,-9999,-9999,-9999,-9999
-177.25,89.75,-9999,-9999,-9999,-9999
-176.75,89.75,-9999,-9999,-9999,-9999
-176.25,89.75,-9999,-9999,-9999,-9999
-175.75,89.75,-9999,-9999,-9999,-9999
-175.25,89.75,-9999,-9999,-9999,-9999
-174.75,89.75,-9999,-9999,-9999,-9999
-174.25,89.75,-9999,-9999,-9999,-9999
-173.75,89.75,-9999,-9999,-9999,-9999
-173.25,89.75,-9999,-9999,-9999,-9999
-172.75,89.75,-9999,-9999,-9999,-9999
-172.25,89.75,-9999,-9999,-9999,-9999
-171.75,89.75,-9999,-9999,-9999,-9999
-171.25,89.75,-9999,-9999,-9999,-9999
-170.75,89.75,-9999,-9999,-9999,-9999
-170.25,89.75,-9999,-9999,-9999,-9999
-169.75,89.75,-9999,-9999,-9999,-9999
-169.25,89.75,-9999,-9999,-9999,-9999
-168.75,89.75,-9999,-9999,-9999,-9999
-168.25,89.75,-9999,-9999,-9999,-9999
-167.75,89.75,-9999,-9999,-9999,-9999
-167.25,89.75,-9999,-9999,-9999,-9999
-166.75,89.75,-9999,-9999,-9999,-9999
-166.25,89.75,-9999,-9999,-9999,-9999
-165.75,89.75,-9999,-9999,-9999,-9999
-165.25,89.75,-9999,-9999,-9999,-9999
-164.75,89.75,-9999,-9999,-9999,-9999
-164.25,89.75,-9999,-9999,-9999,-9999
-163.75,89.75,-9999,-9999,-9999,-9999
-163.25,89.75,-9999,-9999,-9999,-9999
-162.75,89.75,-9999,-9999,-9999,-9999
-162.25,89.75,-9999,-9999,-9999,-9999
-161.75,89.75,-9999,-9999,-9999,-9999
-161.25,89.75,-9999,-9999,-9999,-9999
-160.75,89.75,-9999,-9999,-9999,-9999
-160.25,89.75,-9999,-9999,-9999,-9999
-159.75,89.75,-9999,-9999,-9999,-9999
-159.25,89.75,-9999,-9999,-9999,-9999
-158.75,89.75,-9999,-9999,-9999,-9999
-158.25,89.75,-9999,-9999,-9999,-9999
-157.75,89.75,-9999,-9999,-9999,-9999
-157.25,89.75,-9999,-9999,-9999,-9999
-156.75,89.75,-9999,-9999,-9999,-9999
-156.25,89.75,-9999,-9999,-9999,-9999
-155.75,89.75,-9999,-9999,-9999,-9999
-155.25,89.75,-9999,-9999,-9999,-9999
-154.75,89.75,-9999,-9999,-9999,-9999
-154.25,89.75,-9999,-9999,-9999,-9999
-153.75,89.75,-9999,-9999,-9999,-9999
-153.25,89.75,-9999,-9999,-9999,-9999
-152.75,89.75,-9999,-9999,-9999,-9999
-152.25,89.75,-9999,-9999,-9999,-9999
-151.75,89.75,-9999,-9999,-9999,-9999
-151.25,89.75,-9999,-9999,-9999,-9999
-150.75,89.75,-9999,-9999,-9999,-9999
-150.25,89.75,-9999,-9999,-9999,-9999
-149.75,89.75,-9999,-9999,-9999,-9999
-149.25,89.75,-9999,-9999,-9999,-9999
-148.75,89.75,-9999,-9999,-9999,-9999
-148.25,89.75,-9999,-9999,-9999,-9999
-147.75,89.75,-9999,-9999,-9999,-9999
-147.25,89.75,-9999,-9999,-9999,-9999
-146.75,89.75,-9999,-9999,-9999,-9999
-146.25,89.75,-9999,-9999,-9999,-9999
-145.75,89.75,-9999,-9999,-9999,-9999
-145.25,89.75,-9999,-9999,-9999,-9999
-144.75,89.75,-9999,-9999,-9999,-9999
-144.25,89.75,-9999,-9999,-9999,-9999
-143.75,89.75,-9999,-9999,-9999,-9999
-143.25,89.75,-9999,-9999,-9999,-9999
-142.75,89.75,-9999,-9999,-9999,-9999
